names      ,smarts
AMINAL     ,[#7]-&!@[#6&!H0&!H1]-&!@[#7]
MICHAEL1   ,[#6]=&!@[#6]-[#6]#[#7]
ACETAL     ,[#6&!H0](-&!@[#8])-&!@[#8]
DISULFIDE  ,[#16]~[#16]
ISOCYANATE ,[#6]-[#7]=[#6]=[#8]
IMINE      ,"[#6](=&!@[#7&!H0])-&!@[#6,#7,#8,#16]"
HYDRAZINE  ,[#6]~&!@[#7]~&!@[#7]~&!@[#6]
ALDEHYDE   ,[#6&!H0]=[#8]
AZO        ,[#7]=&!@[#7]
AZIRIDINE  ,[#6]1-[#7]-[#6]-1
EPOXIDE    ,[#6]1-[#8]-[#6]-1
>2 Br      ,[#35].[#35].[#35]
>3 Cl      ,[#17].[#17].[#17].[#17]
>6 F       ,[#9].[#9].[#9].[#9].[#9].[#9].[#9]
AZIDE      ,[#7]~&!@[#7]~&!@[#7]
MICHAEL2   ,[#6]=&!@[#6]-[#16](=[#8])=[#8]
MICHAEL6   ,[#6]=&!@[#6&!H0]-&!@[#6](=[#8])-&!@[#7]
FURAN      ,[H][#6]-1=[#6]([H])-[#6]=[#6](-*)-[#8]-1
THIOPHENE  ,[H][#6]-1=[#6]([H])-[#6]=[#6](-*)-[#16]-1
ALKYLHALIDE,"[H]C([H])([#6])[F,Cl,Br,I]"
ANILINE    ,[H][#7]([H])-[#6]-1=[#6]-[#6]=[#6]-[#6]=[#6]-1
ARO_HALO   ,"[#17,#35,#53]-c(:*):[!#1!#6]:*"
